x,y,yaw,velocity
-8.8715579,4.9111866,0.9707734,7.042486
-8.9544371,4.9669401,0.9865827,6.9833472
-9.0382082,5.0213509,1.0030448,6.9262863
-9.1228746,5.074345,1.0201343,6.8711384
-9.2084462,5.1258564,1.0378245,6.8176868
-9.2949262,5.1758188,1.0560919,6.7658088
-9.3823144,5.2241672,1.0749021,6.7151013
-9.470604,5.2708383,1.0942304,6.6657196
-9.5597876,5.3157689,1.1140807,6.6173361
-9.6498805,5.3589163,1.1341787,6.5687345
-9.7408401,5.4002734,1.1538849,6.5164741
-9.8325762,5.4398356,1.1734065,6.4592675
-9.9250665,5.4775822,1.1932823,6.400072
-10.0183007,5.5134733,1.2134117,6.3401945
-10.1122401,5.5474633,1.2339051,6.2792151
-10.2068597,5.5794992,1.2548449,6.2181142
-10.3021297,5.6095196,1.2763296,6.1575612
-10.3980342,5.6374561,1.2984798,6.0982369
-10.4945524,5.6632268,1.3214245,6.0409593
-10.5916496,5.6867327,1.345303,5.9866227
-10.6892903,5.707862,1.370254,5.9360605
-10.7874348,5.7264909,1.3963779,5.8897101
-10.8860361,5.7424895,1.4237186,5.8481664
-10.9850398,5.7557217,1.4523704,5.8122612
-11.0843821,5.766042,1.4824336,5.782816
-11.183989,5.7732978,1.5139761,5.7604836
-11.2837738,5.7773338,1.5470052,5.7452389
-11.3836364,5.7780063,1.581294,5.7348018
-11.4834662,5.7752232,1.6160596,5.7243602
-11.583148,5.7689744,1.650687,5.713894
-11.6825723,5.7592994,1.6848005,5.7008245
-11.7816152,5.7462787,1.7180502,5.6830222
-11.8801222,5.7300345,1.7502432,5.6580723
-11.9779916,5.7107334,1.7800334,5.6268539
-12.0752555,5.6887578,1.8053255,5.5692516
-12.1721243,5.6644574,1.8276,5.4842672
-12.2685519,5.6380115,1.8492364,5.3845344
-12.3644235,5.6095184,1.8699937,5.2749081
-12.4596905,5.5790698,1.8902638,5.1537643
-12.5541927,5.5467521,1.9103383,5.0232728
-12.6480853,5.5125205,1.9305036,4.8833798
-12.7413162,5.4763653,1.9510717,4.7346113
-12.8337467,5.438281,1.9723412,4.577278
-12.9252299,5.3982365,1.9946695,4.4115955
-13.015635,5.3561565,2.0184977,4.2377636
-13.1053188,5.3116646,2.0445466,4.0568502
-13.193735,5.2647369,2.0735033,3.8700957
-13.2806233,5.2151274,2.1064353,3.6789415
-13.3656428,5.1624939,2.1448868,3.4860739
-13.4482811,5.1063867,2.1911666,3.296719
-13.5276738,5.0462771,2.2487991,3.1214448
-13.6032734,4.980781,2.3241932,2.9810458
-13.6728668,4.9089023,2.4256795,2.9120338
-13.7333655,4.8297166,2.5563926,2.9118521
-13.7830425,4.7440968,2.6549499,2.9116703
-13.8280317,4.6550877,2.6944725,3.0879762
-13.8689177,4.5642188,2.7463939,3.2547256
-13.904123,4.4701294,2.8221201,3.4048067
-13.9318443,4.3745312,2.8954681,3.492134
-13.9528484,4.2768082,2.9635485,3.588148
-13.9673595,4.1778022,3.0280745,3.6842111
-13.9755763,4.078207,3.0901663,3.7757103
-13.9776786,3.9783051,-3.132415,3.8607743
-13.9737675,3.8784192,-3.0725682,3.9383945
-13.9639097,3.7790032,-3.0129428,3.8966096
-13.9481629,3.6805153,-2.9530662,3.8214284
-13.9264071,3.5827384,-2.8920514,3.7381997
-13.8987557,3.4867627,-2.8297032,3.6460531
-13.8651286,3.3928865,-2.7653887,3.5486259
-13.8251532,3.3016026,-2.6881463,3.5317515
-13.7773008,3.2142205,-2.5924462,3.531531
-13.7213982,3.1318284,-2.4997836,3.5313105
-13.6581062,3.0542014,-2.4174677,3.5589587
-13.5892311,2.9817531,-2.3473327,3.6249738
-13.5160114,2.9141062,-2.287458,3.7195385
-13.4390064,2.8505391,-2.2354751,3.8327628
-13.3589277,2.7907518,-2.1896624,3.9568893
-13.2762988,2.7344639,-2.1486303,4.0865779
-13.1915151,2.6814386,-2.1112954,4.2138896
-13.1048877,2.631487,-2.07682,4.3374509
-13.016795,2.5845276,-2.0445941,4.4575737
-12.9272368,2.5403358,-2.0140214,4.5745288
-12.8363434,2.4988193,-1.9846768,4.6885534
-12.7442625,2.4599326,-1.956221,4.7998563
-12.6511269,2.4236521,-1.9283691,4.9086226
-12.5570492,2.3899709,-1.9008507,5.0150174
-12.4621285,2.3588969,-1.8734858,5.1152969
-12.3664368,2.330452,-1.8459153,5.2082535
-12.2699554,2.3046574,-1.8181511,5.2927533
-12.1726974,2.2815542,-1.789669,5.370919
-12.0748889,2.2613228,-1.7595074,5.4369624
-11.9765342,2.2441329,-1.7281306,5.4874325
-11.8776617,2.2300236,-1.6970557,5.5333376
-11.7784052,2.2189589,-1.6667199,5.5792865
-11.6788682,2.2108544,-1.6376878,5.6269508
-11.5791398,2.2055337,-1.6109274,5.6819364
-11.4793064,2.202754,-1.5867818,5.7473924
-11.3794318,2.2022514,-1.5653278,5.8239707
-11.2795639,2.203754,-1.5466701,5.9117345
-11.1797214,2.2069401,-1.5325278,6.0002561
-11.0798928,2.2110181,-1.5294789,6.0874797
-10.980059,2.2147882,-1.5378364,6.1734605
-10.8802056,2.2175154,-1.5492935,6.2582496
-10.7803304,2.2190947,-1.5605908,6.3418948
-10.6804437,2.2195708,-1.5713851,6.4244408
-10.5805574,2.2189933,-1.5816909,6.5059294
-10.4806818,2.2174102,-1.5915238,6.5864
-10.3808259,2.214868,-1.6009007,6.6658893
-10.2809973,2.2114115,-1.6098397,6.7444321
-10.1812025,2.207084,-1.6183595,6.822061
